record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.2","20260130","CDFW","6FKTRWIL","4","WILLOW CR.- TRIN.R.","40.945","-123.631","TRIN","KLTR",,"WILLOW CREEK, TRIBUTARY OF TRINITY RIVER","KLTR","TRIN","40.945","-123.631","N"
"L","4.2","20260130","CDFW","6FDDLSOF","4","SILVERKING OC FARMS",,,"SAMO","CECA",,"SILVERKING OCEANIC FARMS","CECA","SAMO",,,"N"
"L","4.2","20260130","CDFW","6FDLC","4","LAGUNA CREEK","36.97","-122.16","SAMO","CECA",,"LAGUNA CREEK","CECA","SAMO","36.97","-122.16","N"
"L","4.2","20260130","CDFW","6FDSN","4","SAN LORENZO RIVER","36.96","-122.01","SAMO","CECA",,"SAN LORENZO RIVER","CECA","SAMO","36.96","-122.01","N"
"L","4.2","20260130","CDFW","6FK","4","KLAMATH TRINITY SYS","41.54","-124.08",,"KLTR",,"KLAMATH TRINITY RIVER SYSTEM","KLTR",,"41.54","-124.08","N"
"L","4.2","20260130","CDFW","6FBPET","4","PETALUMA RIVER","38.11","-122.49","CECA","SFBA",,"PETALUMA RIVER","SFBA","CECA","38.11","-122.49","N"
"L","4.2","20260130","CDFW","6FBREPRC PRCH","4","PRAIRIE CR HATCHERY","41.3325","-124.0302","MAEL","NOCA",,"HUMBOLDT COUNTY PRAIRIE CREEK HATCHERY","NOCA","MAEL","41.3325","-124.0302","N"
"L","4.2","20260130","CDFW","6FKTRSFK","4","TRINITY RIVER S FORK","40.889","-123.603","TRIN","KLTR",,"TRINITY RIVER SOUTH FORK","KLTR","TRIN","40.889","-123.603","N"
"L","4.2","20260130","CDFW","6FCGC","4","GUADALUPE CREEK","37.25","-121.87","SFBA","CECA",,"GUADALUPE CREEK, TRIBUTARY TO SANFRANCISCO BAY","CECA","SFBA","37.25","-121.87","N"
"L","4.2","20260130","CDFW","6FKKLTHC","4","THOMPSON CREEK",,,"KLAM","KLTR",,"THOMPSON CREEK","KLTR","KLAM",,,"N"
"L","4.2","20260130","CDFW","6FCSAAMN ARFH","4","AMERICAN RIVER HATCHERY","38.633","-121.229","AMER","SAFA",,"AMERICAN RIVER HATCHERY",,,"38.633","-121.229","N"
"L","4.2","20260130","CDFW","6FCSAANC","4","ANDERSON CREEK","40.385","-122.198","SACR","SAFA",,"ANDERSON CREEK","SAFA","SACR","40.385","-122.198","N"
"L","4.2","20260130","CDFW","6FKTRNEW","4","NEW RIVER",,,"TRIN","KLTR",,"NEW RIVER","KLTR","TRIN",,,"N"
"L","4.2","20260130","CDFW","6FBRRLRR","4","RUSSIAN RIVER LOWER REACH","38.45","-123.12","NORU","CECA",,"RUSSIAN RIVER DOWNSTREAM OF DRY CREEK","CECA","NORU","38.45","-123.12","N"
"L","4.2","20260130","CDFW","6FM","4","MOUNTAIN NON ANADROMOUS",,,"CAGNG","CAGN",,"MOUNTAIN NON ANADROMOUS LOCATIONS","CAGN","CAGNG",,,"N"
"L","4.2","20260130","CDFW","6M","4","MARINE",,,"CAGNG","CAGN",,"MARINE","CAGN","CAGNG",,,"N"
"L","4.2","20260130","CDFW","6FCSABAT NFK BECD","4","BATTLE CREEK NFK BEL EAGL","40.4167","-121.946","SACR","SAFA",,"BATTLE CREEK ABOVE COLEMAN NORTH FORK BELOW EAGLE CANYON DAM",,,"40.4167","-121.946","N"
"L","4.2","20260130","CDFW","6FCSASAF TISW","4","SAC R TISDALE WIER","39.02","-121.82","SACR","SAFA",,"SACRAMENTO RIVER TISDALE WIER","SAFA","SACR","39.02","-122.82","N"
"L","4.2","20260130","CDFW","6FCSACOT","4","COTTONWOOD CREEK","40.381","-122.201","SACR","SAFA",,"COTTONWOOD CREEK TRIB TO SACRAMENTO NEAR COTTONWOOD, CA","SAFA","SACR","40.381","-122.201","N"
"L","4.2","20260130","CDFW","6FCSACOY MOUT","4","COYOTE CREEK, MOUTH","40.074","-122.124","SACR","SAFA",,"MOUTH OF COYOTE CREEK","SAFA","SACR","40.074","-122.124","N"
"L","4.2","20260130","CDFW","6FALE","4","LAKE EARL","41.83","-124.19","SMIT","NOCA",,"LAKE EARL","NOCA","SMIT","41.83","-124.19","N"
"L","4.2","20260130","CDFW","6FBELVAN YAGR","4","YAGER CREEK","40.53","-124.07","MAEL","NOCA",,"YAGER CREEK, TRIBUTARY TO VAN DUZEN RIVER","NOCA","MAEL","40.53","-124.07","N"
"L","4.2","20260130","CDFW","6FBRRMCM MCDN","4","MCDONNELL CREEK","38.68","-122.74","NORU","CECA",,"MCDONNELL CREEK, TRIB OF MAACAMA CREEK, TRIB OF RUSSIAN RIVER","CECA","NORU","38.68","-122.74","N"
"L","4.2","20260130","CDFW","6FBBR","4","BIG RIVER","39.3","-123.8","NORU","CECA",,"BIG RIVER","CECA","NORU","39.3","-123.8","N"
"L","4.2","20260130","CDFW","6FBELSPW SPRO","4","SPROWEL CREEK PONDS",,,"MAEL","NOCA",,"SPROWEL CREEK PONDS","NOCA","MAEL",,,"N"
"L","4.2","20260130","CDFW","6FBJG","4","JOLLY GIANT CREEK","40.88","-124.06","MAEL","NOCA",,"JOLLY GIANT CREEK, TRIBUTARY TO ARCATA BAY","NOCA","MAEL","40.8783","-124.0756","N"
"L","4.2","20260130","CDFW","6FCSASAA","4","SAC R CARQUINEZ TO AMER","38.06","-122.22","SACR","SAFA",,"SACRAMENTO RIVER MAINSTEM, CARQUINEZ STRAIT TO AMERICAN RIVER.","SAFA","SACR","38.06","-122.22","N"
"L","4.2","20260130","CDFW","6FCSASAB","4","SAC R AMER TO COLUSA","38.6","-121.51","SACR","SAFA",,"SACRAMENTO RIVER MAINSTEM, AMERICAN RIVER TO COLUSA","SAFA","SACR","38.6","-121.5","N"
"L","4.2","20260130","CDFW","6FASRMSR","4","MF SMITH RIVER","41.848","-123.969","SMIT","NOCA",,"MIDDLE FORK SMITH RIVER","NOCA","SMIT","41.848","-123.969","N"
"L","4.2","20260130","CDFW","6FBMTBRC","4","BEAR CREEK, MATTOLE","40.29","-124.34","MAEL","NOCA",,"BEAR CREEK, TRIBUTARY OF MATTOLE RIVER","NOCA","MAEL","40.29","-124.34","N"
"L","4.2","20260130","CDFW","6FBELVAN","4","VAN DUZEN RIVER","40.54","-124.15","MAEL","NOCA",,"VAN DUZEN RIVER, TRIBUTARY TO EEL RIVER","NOCA","MAEL","40.54","-124.13","N"
"L","4.2","20260130","CDFW","6FBNOSOF","4","S.F. NOYO RIVER","39.4209","-123.5519","NORU","CECA",,"SOUTH FORK NOYO RIVER","CECA","NORU","39.4209","-123.5519","N"
"L","4.2","20260130","CDFW","6FKKLHOR","4","HORSE CREEK",,,"KLAM","KLTR",,"HORSE CREEK","KLTR","KLAM",,,"N"
"L","4.2","20260130","CDFW","6FASRSSR","4","SF SMITH RIVER","41.7955","-124.0576","SMIT","NOCA",,"SOUTH FORK SMITH RIVER","NOCA","SMIT","41.7955","-124.0576","N"
"L","4.2","20260130","CDFW","6FASRLML","4","LIT MILL CR, SMITH R","41.8732","-124.1242","SMIT","NOCA",,"LITTLE MILL CREEK, TRIBUTARY OF SMITH RIVER","NOCA","SMIT","41.8732","-124.1242","N"
"L","4.2","20260130","CDFW","6FBELVAN YAGRCPR","4","COOPER MILL CREEK","40.5583","-124.0574","MAEL","NOCA",,"COOPER MILL CREEK, TRIBUTARY TO YAGER CREEK","NOCA","MAEL","40.5583","-124.0574","N"
"L","4.2","20260130","CDFW","6FCSAPAY","4","PAYNES CREEK","40.261","-122.188","SACR","SAFA",,"PAYNES CREEK TRIB OF SACRAMENTO BETWEEN BATTLE AND ANTELOPE CREEKS","SAFA","SACR","40.261","-122.188","N"
"L","4.2","20260130","CDFW","6FCSASAF LVNH","4","LIVINGSTON STONE HAT","40.716","-122.418","SACR","SAFA",,"LIVINGSTON STONE NATIONAL FISH HATCHERY","SAFA","SACR","40.716","-122.418","N"
"L","4.2","20260130","CDFW","6FCSASAF ORDB","4","SAC R AT ORD BEND","39.627","-121.988","SACR","SAFA",,"SACRAMENTO RIVER ORD BEND","SAFA","SACR","39.627","-121.988","N"
"L","4.2","20260130","CDFW","6FCSASBF","4","SAC R BEL FEATHER","38.06","-122.22","SACR","SAFA",,"SACRAMENTO RIVER BELOW FEATHER RIVER","SAFA","SACR","38.07","-121.85","N"
"L","4.2","20260130","CDFW","6FCSASBF BAHN","4","SAC R AT BAHNFLETH PARK","38.523","-121.523","SACR","SAFA",,"SACRAMENTO RIVER BAHNFLETH PARK","SAFA","SACR","38.523","-121.523","N"
"L","4.2","20260130","CDFW","6FCSASBF HOOD","4","SAC R AT HOOD","38.368","-121.523","SACR","SAFA",,"SACRAMENTO RIVER HOOD","SAFA","SACR","38.368","-121.523","N"
"L","4.2","20260130","CDFW","6FCSASBF LBTY","4","SAC R LIBERTY ISL PROS SL","38.274","-121.667","SACR","SAFA",,"SACRAMENTO RIVER LIBERTY ISLAND PROSPECT SLOUGH","SAFA","SACR","38.274","-121.667","N"
"L","4.2","20260130","CDFW","6FCSJAMR LBWA","4","SAN JOAQ LOS BANOS WILDLF","37.1","-120.8","SJR","SJOA",,"SAN JOAQUIN RIVER LOS BANOS WILDLIFE AREA","SJOA","SJR","37.1","-120.8","N"
"L","4.2","20260130","CDFW","6FCSJCAL","4","CALAVERAS RIVER","37.9668","-121.3677","MOKE","SJOA",,"CALAVERAS RIVER","SJOA","MOKE","37.97","-121.36","N"
"L","4.2","20260130","CDFW","6FCSJMID BACN","4","SAN JOAQ MID BACON N","38.002","-121.529","SJR","SJOA",,"SAN JOAQUIN MIDDLE RIVER BACON ISLAND NORTH SIDE CONNECT OLD AND MID","SJOA","SJR","38.002","-121.529","N"
"L","4.2","20260130","CDFW","6FCSJMNFR HAT","4","SAN JOAQUIN RIV HATCHERY","36.9877","-119.7151","SJR","SJOA",,"SAN JOAQUIN RIVER FISH HATCHERY TROUT BELOW FRIANT DAM MILLERTON LAKE FRIANT CA","SJOA","SJR","36.9877","-119.7151","N"
"L","4.2","20260130","CDFW","6FCSJMNFR HAT SIRF","4","SAN JOAQ R CON HAT SIRF","36.9963","-119.7079","SJR","SJOA",,"SAN JOAQUIN RIVER SALMON CONSERVATION FACILITY SATELLITE INCUBATION REARING FACILITY BEL FRIANT DAM","SJOA","SJR","36.9963","-119.7079","N"
"L","4.2","20260130","CDFW","6FCSJMOK COSU","4","COSUMNES RIVER","38.26","-121.44","MOKE","SJOA",,"COSUMNES RIVER","SJOA","MOKE","38.26","-121.44","N"
"L","4.2","20260130","CDFW","6FCSJMOK ELMV","4","MOK R ELLIOT TO MACKVILLE","38.18","-121.166","MOKE","SJOA",,"MOKELUMNE RIVER ELLIOT ROAD TO MACKVILLE ROAD","SJOA","MOKE","38.18","-121.166","N"
"L","4.2","20260130","CDFW","6FCSJMOK HWCM","4","MOK R HWY 88 TO CAMANCHE","38.2063","-121.0694","MOKE","SJOA",,"MOKELUMNE RIVER HIGHWAY 88 BRIDGE TO CAMANCHE DAM","SJOA","MOKE","38.2063","-121.0694","N"
"L","4.2","20260130","CDFW","6FCSJMOK WDEL","4","MOK R WOODBRIDGE ELLIOT","38.158","-121.2986","MOKE","SJOA",,"MOKELUMNE RIVER WOODBRIDGE TO ELLIOT ROAD","SJOA","MOKE","38.158","-121.2986","N"
"L","4.2","20260130","CDFW","6FCSJMRMN","4","SAN JOAQ RIV MER-MENDOTA","37.349","-120.975","SJR","SJOA",,"SAN JOAQUIN RIVER MERCED RIVER TO MENDOTA POOL","SJOA","SJR","37.349","-120.975","N"
"L","4.2","20260130","CDFW","6FCSJMRMN BEA","4","BEAR CREEK ON SAN JOAQIN","37.2797","-120.8275","SJR","SJOA",,"BEAR CREEK TRIB SAN JOAQUIN RIVER IN GREAT VALLEY GRASSLANDS STATE PARK","SJOA","SJR","37.2795","-120.8272","N"
"L","4.2","20260130","CDFW","6FCSJMRMN GRAS","4","SAN JOAQ R GRT VAL GR 165","37.289","-120.876","SJR","SJOA",,"SAN JOAQUIN RIVER GREAT VALLEY GRASSLANDS STATE PARK BEL HWY 165","SJOA","SJR","37.289","-120.876","N"
"L","4.2","20260130","CDFW","6FCSJMRMN MARBY","4","SAN JOAQ RIV MARIPOSA BYP","37.2037","-120.7629","SJR","SJOA",,"SAN JOAQUIN RIVER AT MARIPOSA BYPASS CONNECT EAST SIDE BYPASS","SJOA","SJR","37.2037","-120.7629","N"
"L","4.2","20260130","CDFW","6FCSJMRMN RIVCNL","4","SAN JOAQ RIV RIVERSID CNL","37.112","-120.5896","SJR","SJOA",,"SAN JOAQUIN RIVER AT RIVERSIDE CANAL CONNECT EAST SIDE BYPASS","SJOA","SJR","37.112","-120.5896","N"
"L","4.2","20260130","CDFW","6FCSJMTO","4","SAN JOAQUIN RIV MERC-TUOL","37.349","-120.975","SJR","SJOA",,"SAN JOAQUIN RIVER FROM MERCED TO TUOLUMNE","SJOA","SJR","37.349","-120.975","N"
"L","4.2","20260130","CDFW","6FCSJOLB FALS","4","SAN JOAQ FALSE R FRANKS","38.054","-121.654","SJR","SJOA",,"SAN JOAQUIN RIVER FALSE RIVER NEAR LITTLE FRANKS TRACT","SJOA","SJR","38.054","-121.654","N"
"L","4.2","20260130","CDFW","6FCSJOLD MAND","4","SAN JOAQ OLD MANDEVILLE","38.01","-121.579","SJR","SJOA",,"SAN JOAQUIN OLD RIVER HOLLAND CUT AT MANDEVILLE ISLAND","SJOA","SJR","38.01","-121.579","N"
"L","4.2","20260130","CDFW","6FCSJOLD QUIM","4","SAN JOAQ OLD QUIMBY ISL","38.034","-121.568","SJR","SJOA",,"SAN JOAQUIN OLD RIVER MI 4 QUIMBY ISLAND WEST SIDE","SJOA","SJR","38.034","-121.568","N"
"L","4.2","20260130","CDFW","6FCSJOLD SJRO","4","SAN JOAQ OLD DIVER S JOAQ","37.808","-121.327","SJR","SJOA",,"SAN JOAQUIN OLD RIVER ORIGIN DIVERGENCE OF OLD RIVER AND SAN JOAQUIN","SJOA","SJR","37.808","-121.327","N"
"L","4.2","20260130","CDFW","6FCSJOLD VICT","4","SAN JOAQ OLD VICTORIA ISL","37.8761","-121.5771","SJR","SJOA",,"SAN JOAQUIN OLD RIVER BELOW HWY 4 VICTORIA ISLAND WEST SIDE","SJOA","SJR","37.8761","-121.5771","N"
"L","4.2","20260130","CDFW","6FCSJSTO","4","SAN JOAQUIN RIV OLD-STAN","37.808","-121.327","SJR","SJOA",,"SAN JOAQUIN RIVER OLD RIVER TO STANISLAUS RIVER","SJOA","SJR","37.808","-121.327","N"
"L","4.2","20260130","CDFW","6FCSJSTO DADS","4","SAN JOAQ DADS ROUGH REDY","37.955","-121.346","SJR","SJOA",,"SAN JOAQUIN RIVER MI 41 DADS POINT AT ROUGH AND READY ISLAND","SJOA","SJR","37.955","-121.346","N"
"L","4.2","20260130","CDFW","6FCSJSTO PRIS","4","SAN JOAQ PRISONERS PT","38.06","-121.555","SJR","SJOA",,"SAN JOAQUIN RIVER MI 11 AT PRISONERS POINT","SJOA","SJR","38.06","-121.555","N"
"L","4.2","20260130","CDFW","6FCSJSTO TURN","4","SAN JOAQ TURNER CUT","37.989","-121.456","SJR","SJOA",,"SAN JOAQUIN RIVER TURNER CUT NEAR ACKER ISLAND","SJOA","SJR","37.989","-121.456","N"
"L","4.2","20260130","CDFW","6FCSJTOS","4","SAN JOAQUIN RIV STAN-TUOL","37.66","-121.24","SJR","SJOA",,"SAN JOAQUIN RIVER STANISLAUS TO TUOLUMNE","SJOA","SJR","37.66","-121.24","N"
"L","4.2","20260130","CDFW","6FCSJTUO LGFF","4","LA GRANGE FISH FAC.","37.6695","-120.4441","TUST","SJOA",,"LA GRANGE FISH FACILITY","SJOA","TUST","37.6695","-120.4441","N"
"L","4.2","20260130","CDFW","6FCSJTUO TRFF","4","TUOLUMNE R FISH FAC.",,,"TUST","SJOA",,"TUOLUMNE RIVER FISH FACILITY","SJOA","TUST",,,"N"
"L","4.2","20260130","CDFW","6FCSUUSC CHIP","4","CHIPPS ISLAND","38.055","-122.93","SFBA","CECA",,"CHIPPS ISLAND","CECA","SFBA","38.055","-122.93","N"
"L","4.2","20260130","CDFW","6FDCM","4","CARMEL RIVER","36.53","-121.93","SAMO","CECA",,"CARMEL RIVER","CECA","SAMO","36.53","-121.93","N"
"L","4.2","20260130","CDFW","6FDSC BC KING","4","KINGFISHER FLAT HATCHERY","37.075","-122.221","SAMO","CECA",,"KINGFISHER FLAT HATCHERY ON BIG CREEK, TRIBUTARY TO SCOTT CREEK NEAR DAVENPORT, CA",,,"37.075","-122.221","N"
"L","4.2","20260130","CDFW","6FDWD","4","WADDELL CREEK","37.095","-122.278","SAMO","CECA",,"WADDELL CREEK NEAR ANO NUEVO STATE PARK, CA",,,"37.095","-122.278","N"
