stream,site,subsite,site_group,date,count,trap_status
battle creek,lbc,lbc,battle creek,1998-12-12,6,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-13,25,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-14,83,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-15,45,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-16,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-17,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-18,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-19,65,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-20,84,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-21,91,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-22,25,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-23,21,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-24,17,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-25,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-26,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1998-12-27,76,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-28,76,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-29,159,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-30,178,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1998-12-31,62,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-01,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-02,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-03,94,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-04,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-05,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-06,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-07,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-08,1540,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-09,1023,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-10,1292,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-11,1323,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-12,1423,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-13,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-14,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-15,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-16,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-17,2634,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-18,7213,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-19,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-20,3195,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-21,5489,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-22,3541,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-23,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-24,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-25,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-26,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-01-27,2095,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-28,1331,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-29,1224,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-30,453,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-01-31,655,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-01,1912,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-02,3174,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-03,5736,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-04,1338,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-05,9017,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-06,6565,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-07,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-08,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-09,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-10,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-11,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-12,2863,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-13,3521,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-14,4035,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-15,3972,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-16,2475,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-17,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-18,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-19,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-20,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-02-21,2008,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-22,621,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-23,2159,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-24,2777,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-25,4423,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-26,8010,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-27,1920,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-02-28,2297,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-01,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-03-02,4446,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-03,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-03-04,1534,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-05,2550,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-06,2301,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-07,2396,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-08,1699,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-09,1948,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-10,1508,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-11,1767,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-12,1866,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-13,1851,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-14,2006,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-15,3040,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-16,2562,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-17,2322,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-18,1992,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-19,1378,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-20,1077,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-21,1005,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-22,593,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-23,381,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-24,288,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-25,570,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-26,208,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-27,214,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-28,99,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-29,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-03-30,47,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-03-31,76,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-01,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-02,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-03,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-04,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-05,318,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-06,271,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-07,299,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-08,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-09,280,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-10,162,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-11,213,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-12,139,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-13,98,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-14,92,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-15,131,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-16,88,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-17,143,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-18,116,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-19,82,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-20,125,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-04-21,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-22,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-23,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-24,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-25,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-26,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-27,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-28,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-29,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-04-30,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-05-01,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-05-02,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-05-03,1146,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-04,920,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-05,633,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-06,354,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-07,283,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-08,245,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-09,345,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-10,326,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-11,242,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-12,161,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-13,173,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-14,220,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-15,249,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-16,236,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-17,210,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-18,193,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-19,199,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-20,160,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-21,238,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-22,290,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-23,335,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-24,263,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-25,294,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-26,250,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-27,203,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-28,179,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-29,115,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-05-30,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-05-31,113,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-01,123,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-02,119,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-03,131,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-04,95,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-05,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-06-06,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-06-07,144,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-08,121,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-09,79,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-10,89,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-11,100,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-12,158,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-13,125,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-14,108,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-15,133,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-16,126,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-17,142,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-18,164,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-19,84,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-20,96,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-21,58,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-22,125,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-23,58,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-24,49,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-25,31,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-26,14,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-27,21,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-06-28,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-06-29,NA,trap not fishing
battle creek,lbc,lbc,battle creek,1999-06-30,17,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-01,20,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-02,11,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-03,21,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-04,13,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-05,15,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-06,11,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-07,16,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-08,18,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-09,36,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-10,11,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-11,14,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-12,9,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-13,7,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-14,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-15,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-16,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-17,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-18,3,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-19,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-07-20,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-21,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-22,5,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-23,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-24,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-07-25,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-26,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-27,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-07-28,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-29,4,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-30,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-07-31,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-01,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-02,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-03,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-04,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-05,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-06,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-07,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-08,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-09,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-10,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-11,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-12,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-13,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-14,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-15,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-16,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-17,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-18,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-19,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-20,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-21,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-22,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-08-23,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-24,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-25,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-26,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-27,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-28,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-29,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-30,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-08-31,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-01,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-02,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-03,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-04,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-05,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-06,2,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-07,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-08,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-09,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-10,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-11,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-12,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-13,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-14,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-15,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-16,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-17,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-18,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-19,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-20,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-21,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-22,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-23,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-24,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-25,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-26,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-27,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-28,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-09-29,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-09-30,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-10-01,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-10-02,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-03,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-04,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-10-05,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-06,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-07,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-08,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-09,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-10,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-11,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-12,1,trap fishing - fish caught
battle creek,lbc,lbc,battle creek,1999-10-13,0,trap fishing - zero catch
battle creek,lbc,lbc,battle creek,1999-10-14,0,trap fishing - zero catch
