projectDescriptionID,releaseID,releaseTime,commonName,markedRun,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,IncludeInAnalysis
7,293,2024-04-20T12:56:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,118.0,7,Elastomer,Yellow,Nose,,Yes
7,294,2024-04-20T12:56:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,422.0,7,Elastomer,Pink,Nose,,Yes
7,295,2024-04-26T12:22:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,101.0,9,Elastomer,Yellow,Nose,,Yes
7,296,2024-04-26T12:22:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,49.0,7,Elastomer,Pink,Nose,,Yes
7,297,2024-04-12T09:30:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,150.0,7,Elastomer,Yellow,Nose,,Yes
7,298,2024-04-05T12:09:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,199.0,7,Elastomer,Yellow,Nose,,Yes
7,299,2024-02-23T12:05:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,436.0,7,Elastomer,Yellow,Nose,,Yes
7,300,2024-05-03T12:00:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,495.0,7,Elastomer,Pink,Nose,,Yes
7,301,2024-05-03T12:00:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,45.0,7,Elastomer,Yellow,Nose,,Yes
7,303,2024-05-10T12:16:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,22.0,7,Elastomer,Yellow,Nose,,Yes
7,304,2024-05-17T10:35:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,753.0,7,Elastomer,Pink,Nose,,Yes
7,305,2024-05-17T10:35:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,30.0,7,Elastomer,Pink,Nose,,Yes
7,306,2025-01-23T12:00:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,351.0,7,Elastomer,Yellow,Nose,,Yes
7,308,2025-02-19T13:50:12Z,Chinook salmon,Fall,Natural,Hallwood,Hallwood Release Site,,133.0,7,Elastomer,Yellow,Nose,,Yes
7,309,2025-02-26T00:00:12Z,Chinook salmon,Fall,Hatchery,Hallwood,Hallwood Release Site,,972.0,7,Elastomer,Yellow,Nose,,Yes
7,255,,Not applicable (n/a),Not applicable (n/a),Not applicable (n/a),Not applicable,Not applicable,,,0,,,,,No
7,257,2023-01-19T22:27:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1090.0,7,Pigment / dye,Brown,Whole body,,Yes
7,258,2023-01-25T10:15:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,2018.0,7,Pigment / dye,Brown,Whole body,,Yes
7,259,2023-02-01T12:15:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,2001.0,7,Pigment / dye,Brown,Whole body,,Yes
7,262,2023-02-22T10:55:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1011.0,7,Elastomer,Pink,Nose,,Yes
7,265,2023-03-08T13:30:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,509.0,7,Elastomer,Pink,Nose,,Yes
7,267,2023-03-23T10:40:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,999.0,7,Elastomer,Pink,Nose,,Yes
7,268,2023-03-30T10:23:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1002.0,7,Elastomer,Pink,Nose,,Yes
7,269,2023-04-05T11:45:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1015.0,7,Elastomer,Pink,Nose,,Yes
7,270,2023-04-12T11:20:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1021.0,8,Elastomer,Pink,Nose,,Yes
7,271,2023-04-20T11:00:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,999.0,7,Elastomer,Pink,Nose,,Yes
7,272,2023-04-27T11:00:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,1048.0,7,Elastomer,Pink,Nose,,Yes
7,273,2023-05-04T11:05:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,968.0,7,Elastomer,Pink,Nose,,Yes
7,274,2023-05-10T10:00:12Z,Chinook salmon,Fall,Hatchery,Not recorded,Hallwood Release Site,,340.0,7,Elastomer,Pink,Nose,,Yes
