counterAtEnd,siteName,subSiteName,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,waterTemp,turbidity,visitTime,visitType,trapFunctioning,fishProcessed,includeCatch,projectDescriptionID,trapVisitID
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-05-23T09:00:00Z,Not recorded,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-05-24T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-05-25T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-05-26T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15.5,NA,2000-05-27T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15.5,NA,2000-05-28T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-05-29T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-05-30T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-05-31T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-01T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-02T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-03T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-04T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-05T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16.5,NA,2000-06-06T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16.5,NA,2000-06-07T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-08T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,NA,NA,2000-06-09T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-10T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-11T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15.5,NA,2000-06-12T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-13T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-14T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15.5,NA,2000-06-15T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-16T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-17T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-18T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-19T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-06-20T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-21T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-22T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,NA,NA,2000-06-23T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-24T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-25T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-06-26T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,17.5,NA,2000-06-27T13:40:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,NA,NA,2000-06-28T00:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-29T00:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-06-30T00:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-01T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-02T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-03T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-04T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-05T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-06T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-07T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-08T12:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,13,NA,2000-07-09T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-10T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-11T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-12T07:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-13T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-14T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-15T07:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-16T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-17T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,13,NA,2000-07-18T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-07-19T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-07-20T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-07-21T07:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-22T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-23T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-24T07:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-25T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-26T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-07-27T07:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-28T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-29T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-30T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-07-31T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-01T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-02T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15.5,NA,2000-08-03T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-04T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,16,NA,2000-08-05T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-08-06T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-08-07T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,14,NA,2000-08-08T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-09T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-10T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-12T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-13T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-15T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-16T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,15,NA,2000-08-17T08:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.20000004768372,2.5,12,0.8100000023841862,2004-11-22T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.5,2.59999990463257,10,1.28999996185303,2004-11-23T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.40000009536743,2.59999990463257,10,1.0299999713897698,2004-11-24T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.5,2.5,10,1.1799999475479095,2004-11-25T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.5,2.20000004768372,11,1.3099999427795397,2004-11-26T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.90000009536743,3,8,1.4099999666213998,2004-11-27T12:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2,2.5,7,2.91000008583069,2004-11-28T11:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.40000009536743,2.40000009536743,6,1.9299999475479095,2004-11-29T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.09999990463257,2.40000009536743,8.5,1.4700000286102302,2004-11-30T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.40000009536743,2.40000009536743,10,1.2200000286102302,2004-12-01T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.5,2.5,10,1.1599999666214,2004-12-02T11:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.40000009536743,2.5,9,1.1699999570846595,2004-12-03T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.29999995231628,2.40000009536743,9,0.9499999880790712,2004-12-04T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.40000009536743,2.29999995231628,8,0.8899999856948851,2004-12-05T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,1.79999995231628,2.29999995231628,10,1.2400000095367405,2004-12-06T10:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.70000004768372,2.90000009536743,10.5,1.2999999523162795,2004-12-07T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,0,0,10,70.19999694824222,2004-12-08T09:40:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.80000019073486,5.90000009536743,10.5,3.759999990463259,2004-12-10T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5,5.19999980926514,10,2.11999988555908,2004-12-11T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5,5,9,1.76999998092651,2004-12-12T08:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.19999980926514,4.69999980926514,9,1.7799999713897698,2004-12-13T11:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,11,2.01999998092651,2004-12-14T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,11,1.6399999856948897,2004-12-15T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.19999980926514,5,9,1.9299999475479095,2004-12-16T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,3.90000009536743,10,2.09999990463257,2004-12-17T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,9,1.419999957084659,2004-12-18T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,3.90000009536743,7,1.7200000286102302,2004-12-19T09:20:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,9.5,2.36999988555908,2004-12-20T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,3.90000009536743,10,2.59999990463257,2004-12-21T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,8.5,3.08999991416931,2004-12-22T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.5,3.5,8,2.92000007629395,2004-12-23T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,8,2.75,2004-12-24T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,3.70000004768372,5,2.27999997138977,2004-12-25T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,3.79999995231628,6,2.3900001049041695,2004-12-26T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.5,4,9,2.29999995231628,2004-12-27T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,3.90000009536743,9.5,2.8399999141693097,2004-12-28T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.69999980926514,4.80000019073486,9.5,9.02000045776367,2004-12-29T10:15:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.29999995231628,4,5.5,39.299999237060504,2004-12-30T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,6,6.09999990463257,6,15.899999618530302,2005-01-01T07:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3,2.90000009536743,6,7,2005-01-02T07:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.79999995231628,3.79999995231628,9,17.299999237060497,2005-01-03T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2,2,8.5,8.199999809265142,2005-01-04T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.09999990463257,4.09999990463257,9.5,7.400000095367431,2005-01-05T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.59999990463257,4.59999990463257,8.5,6.5,2005-01-06T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5,5,8.5,8.10000038146973,2005-01-07T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3,3,9,16.8999996185303,2005-01-08T08:15:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.09999990463257,4,9,12.399999618530302,2005-01-09T08:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4.80000019073486,4.80000019073486,8.5,10.5,2005-01-10T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,4,4,8.5,26.5,2005-01-11T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,4,8.5,15.6000003814697,2005-01-12T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.90000009536743,3.79999995231628,8.5,12.899999618530302,2005-01-13T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,3.79999995231628,3.79999995231628,8,13.5,2005-01-14T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,2.90000009536743,3,6,13.8000001907349,2005-01-15T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.5,5.5,9,12.3000001907349,2005-01-16T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.19999980926514,5.19999980926514,8.5,11.6999998092651,2005-01-17T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.30000019073486,5.30000019073486,8.5,11.399999618530302,2005-01-18T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.40000009536743,5.40000009536743,8.5,12.899999618530302,2005-01-19T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.40000009536743,5.40000009536743,8.5,11.1000003814697,2005-01-20T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.40000009536743,5.40000009536743,9.399999618530272,9.02000045776367,2005-01-21T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.90000009536743,5.90000009536743,8.5,8.109999656677251,2005-01-22T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.90000009536743,6,8.399999618530272,6.82000017166138,2005-01-23T09:45:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.5,5.5,8.5,8.329999923706051,2005-01-24T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.40000009536743,5.40000009536743,9,7.92999982833862,2005-01-25T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.90000009536743,5.90000009536743,6,7.75,2005-01-26T09:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.69999980926514,5.69999980926514,8,7.65000009536743,2005-01-27T07:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.5,5.5,8.5,15.509999990463257,2005-01-28T08:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.40000009536743,5.40000009536743,8.5,15.509999990463257,2005-01-28T12:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.90000009536743,6,8,10.1000003814697,2005-01-29T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,6,6,8,7.40999984741211,2005-01-30T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.5,5.5,8,6.460000038146969,2005-01-31T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,NA,NA,8,6.5500001907348615,2005-02-01T10:00:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
NA,Hallwood,Hallwood 1 RR,5.59999990463257,5.5,8.5,7.5,2005-02-02T09:30:00Z,Continue trapping,Not recorded,Not recorded,Yes,NA,NA
