projectDescriptionID,trapVisitID,visitTime,visitTime2,siteName,subSiteName,visitType,fishProcessed,trapFunctioning,counterAtStart,counterAtEnd,rpmRevolutionsAtStart,rpmRevolutionsAtEnd,includeCatch,discharge,waterVel,waterTemp,lightPenetration,turbidity,dissolvedOxygen,conductivity,trap_start_date,trap_end_date
9,8870,2004-11-24T10:30:52Z,2004-11-24T10:30:52Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9957,3.59999990463257,3.70000004768372,Yes,4408,NA,10,NA,7.23999977111816,NA,NA,2004-11-22T13:00:02Z,2004-11-24T10:30:52Z
9,8868,2004-11-26T10:00:17Z,2004-11-26T10:00:17Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10229,3.70000004768372,3.70000004768372,Yes,4279,NA,11.1000003814697,NA,7.11999988555908,NA,NA,2004-11-24T10:30:52Z,2004-11-26T10:00:17Z
9,8850,2004-11-29T10:15:59Z,2004-11-29T10:15:59Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,13424,3.70000004768372,2.70000004768372,Yes,5132,NA,9.39999961853027,NA,11.0900001525879,NA,NA,2004-11-26T10:00:17Z,2004-11-29T10:15:59Z
9,8848,2004-12-01T10:30:07Z,2004-12-01T10:30:07Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9178,3.09999990463257,3.20000004768372,Yes,5262,NA,8.89999961853027,NA,8.55000019073486,NA,NA,2004-11-29T10:15:59Z,2004-12-01T10:30:07Z
9,8846,2004-12-03T11:30:06Z,2004-12-03T11:30:06Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9525,3.20000004768372,3.29999995231628,Yes,5087,NA,7.80000019073486,NA,6.78000020980835,NA,NA,2004-12-01T10:30:07Z,2004-12-03T11:30:06Z
9,8844,2004-12-06T09:30:49Z,2004-12-06T09:30:49Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,4872,NA,NA,3.40000009536743,Yes,4944,NA,8.30000019073486,NA,7.42999982833862,NA,NA,2004-12-03T11:30:06Z,2004-12-06T09:30:49Z
9,8842,2004-12-08T10:00:43Z,2004-12-08T10:00:43Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9341,3.40000009536743,3.09999990463257,Yes,6094,NA,8.89999961853027,NA,15.1000003814697,NA,NA,2004-12-06T09:30:49Z,2004-12-08T10:00:43Z
9,8840,2004-12-10T14:00:50Z,2004-12-10T14:00:50Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,3240,NA,NA,3.09999990463257,Yes,18371,NA,11.1000003814697,NA,32.4000015258789,NA,NA,2004-12-08T10:00:43Z,2004-12-10T14:00:50Z
9,8838,2004-12-10T15:30:58Z,2004-12-10T15:30:58Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,364,3.29999995231628,1.39999997615814,Yes,18371,NA,11.1000003814697,NA,32.4000015258789,NA,NA,2004-12-10T14:00:50Z,2004-12-10T15:30:58Z
9,8834,2004-12-13T10:30:57Z,2004-12-13T10:30:57Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,7326,NA,NA,3.40000009536743,Yes,9395,NA,11.6999998092651,NA,29.5,NA,NA,2004-12-10T15:30:58Z,2004-12-13T10:30:57Z
9,8832,2004-12-14T10:30:22Z,2004-12-14T10:30:22Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5050,3.5,3.59999990463257,Yes,8590,NA,12.1999998092651,NA,13.3999996185303,NA,NA,2004-12-13T10:30:57Z,2004-12-14T10:30:22Z
9,8830,2004-12-15T10:00:20Z,2004-12-15T10:00:20Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4906,3.70000004768372,3.20000004768372,Yes,8069,NA,11.6999998092651,NA,19.6499996185303,NA,NA,2004-12-14T10:30:22Z,2004-12-15T10:00:20Z
9,8828,2004-12-17T09:45:44Z,2004-12-17T09:45:44Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9625,3.5,3.20000004768372,Yes,7178,NA,11.1000003814697,NA,14,NA,NA,2004-12-15T10:00:20Z,2004-12-17T09:45:44Z
9,8826,2004-12-20T10:00:45Z,2004-12-20T10:00:45Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,6948,NA,NA,3.5,Yes,6224,NA,11.1000003814697,NA,13.5,NA,NA,2004-12-17T09:45:44Z,2004-12-20T10:00:45Z
9,8824,2004-12-22T09:30:35Z,2004-12-22T09:30:35Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,9923,3.5,3.5,Yes,5770,NA,9.39999961853027,NA,9.39000034332275,NA,NA,2004-12-20T10:00:45Z,2004-12-22T09:30:35Z
9,8822,2004-12-23T09:30:19Z,2004-12-23T09:30:19Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5086,3.5,3.59999990463257,Yes,5693,NA,8.89999961853027,NA,10.0500001907349,NA,NA,2004-12-22T09:30:35Z,2004-12-23T09:30:19Z
9,8814,2004-12-27T10:00:06Z,2004-12-27T10:00:06Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,17865,3.5,2.59999990463257,Yes,5992,NA,8.30000019073486,NA,9.68000030517578,NA,NA,2004-12-23T09:30:19Z,2004-12-27T10:00:06Z
9,8812,2004-12-29T11:30:02Z,2004-12-29T11:30:02Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap functioning normally,5195,NA,NA,3.29999995231628,Yes,27012,NA,8.30000019073486,NA,314.5,NA,NA,2004-12-27T10:00:06Z,2004-12-29T11:30:02Z
9,8808,2004-12-31T11:00:19Z,2004-12-31T11:00:19Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,3475,NA,NA,4.09999990463257,Yes,25767,NA,9.39999961853027,NA,183.5,NA,NA,2004-12-29T11:30:02Z,2004-12-31T11:00:19Z
9,8806,2005-01-01T09:30:35Z,2005-01-01T09:30:35Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4342,3.59999990463257,3.09999990463257,Yes,24746,NA,10,NA,106.949996948242,NA,NA,2004-12-31T11:00:19Z,2005-01-01T09:30:35Z
9,8804,2005-01-02T10:30:55Z,2005-01-02T10:30:55Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4950,3.40000009536743,3.09999990463257,Yes,22750,NA,8.89999961853027,NA,73.0999984741211,NA,NA,2005-01-01T09:30:35Z,2005-01-02T10:30:55Z
9,8802,2005-01-03T09:45:21Z,2005-01-03T09:45:21Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,3953,3.20000004768372,3.20000004768372,Yes,21062,NA,8.30000019073486,NA,85.4000015258789,NA,NA,2005-01-02T10:30:55Z,2005-01-03T09:45:21Z
9,8800,2005-01-04T10:30:56Z,2005-01-04T10:30:56Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,853,NA,NA,3.70000004768372,Yes,22171,NA,8.89999961853027,NA,70.9000015258789,NA,NA,2005-01-03T09:45:21Z,2005-01-04T10:30:56Z
9,8798,2005-01-05T10:15:49Z,2005-01-05T10:15:49Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4446,3.5,3,Yes,19975,NA,8.89999961853027,NA,41,NA,NA,2005-01-04T10:30:56Z,2005-01-05T10:15:49Z
9,8796,2005-01-06T09:45:58Z,2005-01-06T09:45:58Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,952,NA,NA,3.40000009536743,Yes,16138,NA,9.39999961853027,NA,53.2000007629395,NA,NA,2005-01-05T10:15:49Z,2005-01-06T09:45:58Z
9,8794,2005-01-07T10:30:53Z,2005-01-07T10:30:53Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,851,NA,NA,3,Yes,13917,NA,9.39999961853027,NA,35.9000015258789,NA,NA,2005-01-06T09:45:58Z,2005-01-07T10:30:53Z
9,8792,2005-01-08T10:00:16Z,2005-01-08T10:00:16Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4308,3.5,3.09999990463257,Yes,15458,NA,8.89999961853027,NA,44.7000007629395,NA,NA,2005-01-07T10:30:53Z,2005-01-08T10:00:16Z
9,8790,2005-01-09T09:15:16Z,2005-01-09T09:15:16Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4837,3.5,3.70000004768372,Yes,21329,NA,8.89999961853027,NA,31.1000003814697,NA,NA,2005-01-08T10:00:16Z,2005-01-09T09:15:16Z
9,8774,2005-01-10T11:00:47Z,2005-01-10T11:00:47Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5035,3.70000004768372,2.59999990463257,Yes,19033,NA,7.80000019073486,NA,88.0999984741211,NA,NA,2005-01-09T09:15:16Z,2005-01-10T11:00:47Z
9,8772,2005-01-11T10:15:45Z,2005-01-11T10:15:45Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4865,3.79999995231628,3.5,Yes,16808,NA,7.80000019073486,NA,49.5999984741211,NA,NA,2005-01-10T11:00:47Z,2005-01-11T10:15:45Z
9,8764,2005-01-12T10:00:40Z,2005-01-12T10:00:40Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5038,3.79999995231628,3.29999995231628,Yes,21942,NA,9.39999961853027,NA,29.5,NA,NA,2005-01-11T10:15:45Z,2005-01-12T10:00:40Z
9,8754,2005-01-14T09:55:53Z,2005-01-14T09:55:53Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4559,4,3.5,Yes,18338,NA,7.80000019073486,NA,123.550003051758,NA,NA,2005-01-12T10:00:40Z,2005-01-14T09:55:53Z
9,8752,2005-01-15T09:45:55Z,2005-01-15T09:45:55Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4882,3.5,3.40000009536743,Yes,15217,NA,8.30000019073486,NA,53.7999992370605,NA,NA,2005-01-14T09:55:53Z,2005-01-15T09:45:55Z
9,8749,2005-01-16T10:00:31Z,2005-01-16T10:00:31Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4818,3.5,3.20000004768372,Yes,13412,NA,8.30000019073486,NA,46.9000015258789,NA,NA,2005-01-15T09:45:55Z,2005-01-16T10:00:31Z
9,8731,2005-01-17T11:15:05Z,2005-01-17T11:15:05Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4925,3.29999995231628,3.20000004768372,Yes,12421,NA,8.30000019073486,1,36,NA,NA,2005-01-16T10:00:31Z,2005-01-17T11:15:05Z
9,8729,2005-01-18T09:45:05Z,2005-01-18T09:45:05Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4558,3.79999995231628,3.79999995231628,Yes,12088,NA,8.89999961853027,0.850000023841858,26,NA,NA,2005-01-17T11:15:05Z,2005-01-18T09:45:05Z
9,8727,2005-01-19T10:00:37Z,2005-01-19T10:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4988,3.79999995231628,3.40000009536743,Yes,12242,NA,8.89999961853027,12.539999961853,24.0499992370605,NA,NA,2005-01-18T09:45:05Z,2005-01-19T10:00:37Z
9,8725,2005-01-20T10:00:37Z,2005-01-20T10:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5104,3.5,3.59999990463257,Yes,12117,NA,8.89999961853027,1.29999995231628,27.7999992370605,NA,NA,2005-01-19T10:00:37Z,2005-01-20T10:00:37Z
9,8723,2005-01-21T10:00:39Z,2005-01-21T10:00:39Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4809,3.59999990463257,3.40000009536743,Yes,12083,NA,9.39999961853027,15,19.2999992370605,NA,NA,2005-01-20T10:00:37Z,2005-01-21T10:00:39Z
9,8721,2005-01-22T09:45:46Z,2005-01-22T09:45:46Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,NA,710,NA,4.19999980926514,Yes,12029,NA,9.39999961853027,1.5,19.2999992370605,NA,NA,2005-01-21T10:00:39Z,2005-01-22T09:45:46Z
9,8719,2005-01-23T10:45:51Z,2005-01-23T10:45:51Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,6031,4.09999990463257,4,Yes,11812,NA,9.39999961853027,1.39999997615814,22,NA,NA,2005-01-22T09:45:46Z,2005-01-23T10:45:51Z
9,8717,2005-01-24T10:15:12Z,2005-01-24T10:15:12Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5631,4.40000009536743,3.90000009536743,Yes,11446,NA,9.39999961853027,15.5,18,NA,NA,2005-01-23T10:45:51Z,2005-01-24T10:15:12Z
9,8715,2005-01-25T10:15:03Z,2005-01-25T10:15:03Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5740,4.09999990463257,4,Yes,11125,NA,9.39999961853027,1.29999995231628,18.6000003814697,NA,NA,2005-01-24T10:15:12Z,2005-01-25T10:15:03Z
9,8713,2005-01-26T10:30:13Z,2005-01-26T10:30:13Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5623,4.19999980926514,3.59999990463257,Yes,10929,NA,9.39999961853027,1.39999997615814,16.7000007629395,NA,NA,2005-01-25T10:15:03Z,2005-01-26T10:30:13Z
9,8711,2005-01-27T10:15:01Z,2005-01-27T10:15:01Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,5355,4.19999980926514,3.59999990463257,Yes,13117,NA,11.1000003814697,1.20000004768372,15.1999998092651,NA,NA,2005-01-26T10:30:13Z,2005-01-27T10:15:01Z
9,8709,2005-01-28T11:15:31Z,2005-01-28T11:15:31Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,NA,4658,NA,4.09999990463257,Yes,24512,NA,11.6000003814697,0.870000004768372,19.2999992370605,NA,NA,2005-01-27T10:15:01Z,2005-01-28T11:15:31Z
9,8707,2005-01-29T11:45:30Z,2005-01-29T11:45:30Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,3684,3.90000009536743,NA,Yes,25379,NA,11.1000003814697,0.5,88,NA,NA,2005-01-28T11:15:31Z,2005-01-29T11:45:30Z
9,8810,2005-01-30T10:45:53Z,2005-01-30T10:45:53Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,3161,5.30000019073486,1.79999995231628,Yes,26417,NA,8.89999961853027,NA,214.5,NA,NA,2005-01-29T11:45:30Z,2005-01-30T10:45:53Z
9,8705,2005-01-30T13:30:59Z,2005-01-30T13:30:59Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,4979,4.19999980926514,2.59999990463257,Yes,24088,NA,11.1000003814697,0.300000011920929,308,NA,NA,2005-01-30T10:45:53Z,2005-01-30T13:30:59Z
9,8703,2005-01-31T12:00:01Z,2005-01-31T12:00:01Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,3792,3.40000009536743,3.40000009536743,Yes,20004,2.41000008583069,10.5,0.5,77.0999984741211,NA,NA,2005-01-30T13:30:59Z,2005-01-31T12:00:01Z
9,8485,2005-02-01T11:00:37Z,2005-02-01T11:00:37Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,NA,3.29999995231628,3.40000009536743,Yes,17246,NA,11,0.800000011920929,25,NA,NA,2005-01-31T12:00:01Z,2005-02-01T11:00:37Z
9,8486,2005-02-02T10:15:57Z,2005-02-02T10:15:57Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Not recorded,NA,5003,4.19999980926514,3.40000009536743,Yes,15671,2.97000002861023,9.39999961853027,0.899999976158142,21.3999996185303,NA,NA,2005-02-01T11:00:37Z,2005-02-02T10:15:57Z
9,8836,2005-03-11T09:30:03Z,2005-03-11T09:30:03Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,620,NA,NA,3.20000004768372,Yes,13583,NA,11.1000003814697,NA,64.1999969482422,NA,NA,2005-02-02T10:15:57Z,2005-03-11T09:30:03Z
9,8762,2005-03-13T12:00:20Z,2005-03-13T12:00:20Z,Knights Landing RST,8.3,Unplanned restart,Processed fish,Trap stopped functioning,1793,NA,NA,4.09999990463257,Yes,22567,NA,7.80000019073486,NA,125.800003051758,NA,NA,2005-03-11T09:30:03Z,2005-03-13T12:00:20Z
9,4216,2006-10-02T09:30:00Z,2006-10-02T09:30:00Z,Knights Landing RST,8.3,Start trap & begin trapping,N/A; not a sampling visit,Trap functioning normally,NA,NA,NA,3.09999990463257,Yes,NA,NA,NA,NA,NA,NA,NA,2006-10-02T09:30:00Z,2006-10-02T09:30:00Z
9,4205,2006-10-06T09:30:00Z,2006-10-06T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,20715,3.20000004768372,3.20000004768372,Yes,7710,2.27999997138977,61,NA,6.26000022888184,NA,NA,2006-10-02T09:30:00Z,2006-10-06T09:30:00Z
9,4207,2006-10-10T08:30:00Z,2006-10-10T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,32404,3,3.09999990463257,Yes,7360,2.1800000667572,61,2.40000009536743,6.90000009536743,NA,NA,2006-10-06T09:30:00Z,2006-10-10T08:30:00Z
9,4209,2006-10-13T08:30:00Z,2006-10-13T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,NA,2.70000004768372,2.79999995231628,Yes,6580,2.08999991416931,61,2.09999990463257,7.61999988555908,NA,NA,2006-10-10T08:30:00Z,2006-10-13T08:30:00Z
9,4211,2006-10-17T08:30:00Z,2006-10-17T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,12047,2.79999995231628,3.09999990463257,Yes,6190,2,60,2.40000009536743,8.46000003814697,NA,NA,2006-10-13T08:30:00Z,2006-10-17T08:30:00Z
9,4213,2006-10-20T08:30:00Z,2006-10-20T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,12168,2.70000004768372,2.70000004768372,Yes,5860,2.20000004768372,59,2.90000009536743,7.65000009536743,NA,NA,2006-10-17T08:30:00Z,2006-10-20T08:30:00Z
9,4215,2006-10-24T08:30:00Z,2006-10-24T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,15321,2.59999990463257,2.59999990463257,Yes,5600,2.1800000667572,60,2.79999995231628,6.90999984741211,NA,NA,2006-10-20T08:30:00Z,2006-10-24T08:30:00Z
9,4218,2006-10-27T08:30:00Z,2006-10-27T08:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,11525,2.5,2.5,Yes,5290,2.20000004768372,57,3,5.48999977111816,NA,NA,2006-10-24T08:30:00Z,2006-10-27T08:30:00Z
9,4220,2006-10-31T09:00:00Z,2006-10-31T09:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,14740,2.40000009536743,2.70000004768372,Yes,5080,2.01999998092651,56,2.79999995231628,4.96999979019165,NA,NA,2006-10-27T08:30:00Z,2006-10-31T09:00:00Z
9,4222,2006-11-03T10:00:00Z,2006-11-03T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10859,2.5,2.5,Yes,NA,2,58,2.90000009536743,6.94999980926514,NA,NA,2006-10-31T09:00:00Z,2006-11-03T10:00:00Z
9,4224,2006-11-07T11:30:00Z,2006-11-07T11:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,13745,2.29999995231628,2.5,Yes,5180,1.96000003814697,59,2,8.27000045776367,NA,NA,2006-11-03T10:00:00Z,2006-11-07T11:30:00Z
9,4226,2006-11-10T10:00:00Z,2006-11-10T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,10254,2.40000009536743,2.5,Yes,5370,2.01999998092651,59,2.09999990463257,8.75,NA,NA,2006-11-07T11:30:00Z,2006-11-10T10:00:00Z
9,4228,2006-11-14T10:00:00Z,2006-11-14T10:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,14248,2.40000009536743,2.5,Yes,5840,1.95000004768372,54,2.29999995231628,8.97000026702881,NA,NA,2006-11-10T10:00:00Z,2006-11-14T10:00:00Z
9,4230,2006-11-17T09:30:00Z,2006-11-17T09:30:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,11001,2.59999990463257,2.79999995231628,Yes,6590,2.09999990463257,55,1.79999995231628,10.4499998092651,NA,NA,2006-11-14T10:00:00Z,2006-11-17T09:30:00Z
9,4232,2006-11-21T11:00:00Z,2006-11-21T11:00:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,15422,2.40000009536743,2.59999990463257,Yes,6090,2.05999994277954,51,2.40000009536743,5.82000017166138,NA,NA,2006-11-17T09:30:00Z,2006-11-21T11:00:00Z
9,4234,2006-11-27T10:45:00Z,2006-11-27T10:45:00Z,Knights Landing RST,8.3,Continue trapping,Processed fish,Trap functioning normally,NA,20932,2.29999995231628,2.40000009536743,Yes,6430,2.04999995231628,53,2.79999995231628,6.40000009536743,NA,NA,2006-11-21T11:00:00Z,2006-11-27T10:45:00Z
