ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,finalRun,fishOrigin,lifeStage,forkLength,n,visitTime,visitTime2,visitType,siteName,subSiteName,markType,markColor,markPosition,trap_start_date,trap_end_date
10,88896,5843,Chinook salmon,309,Not recorded,NA,Natural,Not recorded,NA,1,2021-02-10T08:00:13Z,2021-02-10T08:00:13Z,Unplanned restart,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2018-11-01T08:15:34Z,2021-02-10T08:00:13Z
10,88897,5843,Chinook salmon,309,Not recorded,NA,Natural,Not recorded,NA,1,2021-02-10T08:00:13Z,2021-02-10T08:00:13Z,Unplanned restart,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2021-02-10T08:00:13Z,2021-02-10T08:00:13Z
10,88898,5843,Chinook salmon,309,Not recorded,NA,Natural,Not recorded,NA,1,2021-02-10T08:00:13Z,2021-02-10T08:00:13Z,Unplanned restart,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2021-02-10T08:00:13Z,2021-02-10T08:00:13Z
10,88899,6444,Chinook salmon,310,Fall,NA,Natural,Parr,NA,1,2022-03-11T11:45:35Z,2022-03-11T11:45:35Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2021-02-10T08:00:13Z,2022-03-11T11:45:35Z
10,88900,6444,Chinook salmon,310,Fall,NA,Natural,Parr,NA,1,2022-03-11T11:45:35Z,2022-03-11T11:45:35Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2022-03-11T11:45:35Z,2022-03-11T11:45:35Z
10,88901,6444,Chinook salmon,310,Fall,NA,Natural,Parr,NA,1,2022-03-11T11:45:35Z,2022-03-11T11:45:35Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2022-03-11T11:45:35Z,2022-03-11T11:45:35Z
10,88902,6488,Chinook salmon,314,Spring,NA,Natural,Silvery parr,NA,1,2022-04-01T10:45:52Z,2022-04-01T10:45:52Z,Unplanned restart,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2022-03-11T11:45:35Z,2022-04-01T10:45:52Z
10,88904,6829,Chinook salmon,283,Not recorded,NA,Natural,Not recorded,NA,1,2023-01-25T10:15:47Z,2023-01-25T10:15:47Z,Continue trapping,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2022-04-01T10:45:52Z,2023-01-25T10:15:47Z
10,88905,6980,Chinook salmon,317,Not recorded,NA,Natural,Not recorded,NA,1,2023-04-13T09:45:52Z,2023-04-13T09:45:52Z,Unplanned restart,Tisdale Weir RST,RR,Elastomer,Pink,Nose,2023-01-25T10:15:47Z,2023-04-13T09:45:52Z
10,88906,6980,Chinook salmon,317,Not recorded,NA,Natural,Not recorded,NA,1,2023-04-13T09:45:52Z,2023-04-13T09:45:52Z,Unplanned restart,Tisdale Weir RST,RR,Elastomer,Pink,Nose,2023-04-13T09:45:52Z,2023-04-13T09:45:52Z
10,88907,6994,Chinook salmon,318,Not recorded,NA,Hatchery,Not recorded,NA,12,2023-04-20T09:45:14Z,2023-04-20T09:45:14Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2023-04-13T09:45:52Z,2023-04-20T09:45:14Z
10,88914,7006,Chinook salmon,319,Not recorded,NA,Hatchery,Not recorded,NA,18,2023-04-26T10:00:39Z,2023-04-26T10:00:39Z,Unplanned restart,Tisdale Weir RST,RR,Elastomer,Red,Nose,2023-04-20T09:45:14Z,2023-04-26T10:00:39Z
10,88915,7425,Chinook salmon,320,Not recorded,NA,Natural,Not recorded,NA,4,2024-01-18T10:45:41Z,2024-01-18T10:45:41Z,Unplanned restart,Tisdale Weir RST,RR,Pigment / dye,Brown,Whole body,2023-04-26T10:00:39Z,2024-01-18T10:45:41Z
10,88917,7533,Chinook salmon,324,Not recorded,NA,Natural,Not recorded,NA,1,2024-03-27T10:00:13Z,2024-03-27T10:00:13Z,Continue trapping,Tisdale Weir RST,RR,Elastomer,Orange,Nose,2024-01-18T10:45:41Z,2024-03-27T10:00:13Z
10,88918,7538,Chinook salmon,325,Spring,NA,Natural,Silvery parr,NA,3,2024-03-29T10:00:04Z,2024-03-29T10:00:04Z,End trapping,Tisdale Weir RST,RR,Elastomer,Red,Nose,2024-03-27T10:00:13Z,2024-03-29T10:00:04Z
